"IdConglomerado","X_coord","Y_coord","cci.plot","hei.plot","agbd.plot"
47177,513217.888565747,2356068.58950729,10.0289316177368,7.15735578536987,47.7260641611125
47372,472767.488161513,2355249.7500136,27.1439590454102,8.39120578765869,101.855303559538
47376,492735.744990008,2353168.8959575,2.25832796096802,3.78279614448547,1.647638835875
47791,486676.964056552,2343703.6982304,6.61282300949097,8.3448371887207,5.03568683686875
47792,491687.646744915,2343180.8928075,15.9058017730713,11.8384847640991,51.33009384655
47997,446220.026244285,2342894.69494636,15.6087923049927,5.78922319412231,6.5285558365625
48007,496161.13816617,2337642.39626283,18.1872158050537,13.6125478744507,34.0912440029437
48446,465138.306122366,2330795.40056781,24.7596054077148,11.8757963180542,34.0125667884937
48456,515092.569878457,2325566.88252791,13.4662113189697,8.37105083465576,82.8381648952937
48670,449719.486844738,2327391.66593603,28.7678356170654,6.98147487640381,75.1759036362625
48675,474596.208311649,2324749.41209286,16.4916534423828,7.97950172424316,29.0627207697437
48676,479589.157582851,2324253.78539266,15.1970186233521,8.95634174346924,43.9877026533125
48904,464106.80796647,2320806.07111914,22.5691661834717,8.81325340270996,22.8813298134187
48909,489053.059831703,2318188.49780287,20.5037021636963,11.670072555542,124.831984706362
49138,468571.501648149,2315294.10946428,23.4799194335938,12.852147102356,102.736621931569
49369,458048.688138377,2311351.36112123,30.3323097229004,6.62929058074951,39.9677205475625
49374,483034.388409377,2308728.08468514,22.7138328552246,12.8086833953857,130.610512884719
49379,507995.763537654,2306102.1365401,4.30988121032715,6.3169116973877,52.4194733969625
49603,462542.920841526,2305837.77681254,25.4787712097168,13.9593544006348,92.8367904141375
49604,467512.352411614,2305304.80261949,19.3423748016357,9.86686325073242,65.0302648098688
49608,487479.734249882,2303221.2666651,24.8391761779785,12.1919116973877,80.612167504175
49831,447042.676592289,2302405.64612212,20.7247257232666,8.14687538146973,44.8471646595625
49841,496958.454123086,2297191.53975354,9.56032657623291,9.31478500366211,70.577247980475
50060,431535.656617025,2298987.71971111,21.7527923583984,13.6650476455688,93.7148526314375
50070,481451.826155853,2293755.33742097,16.0038642883301,11.7071552276611,108.079146654225
50296,450971.938126933,2291910.47802913,18.65260887146,13.9929933547974,87.7683614938063
50523,430482.460854714,2289000.34739972,22.9852886199951,14.6394166946411,139.861568563306
50532,475402.802459054,2284294.72959717,23.9392585754395,13.3029069900513,104.539576966187
50533,480407.924315895,2283768.60219909,24.335391998291,13.5725955963135,77.4601385320313
51218,428915.45090534,2274034.9730292,15.9204044342041,14.0494556427002,97.7894644801375
51449,413436.193698497,2270601.88292705,22.0339450836182,13.7343063354492,107.936899722375
51450,418414.894117527,2270079.25612774,22.8829460144043,14.0859394073486,100.723236084987
51459,463351.260534886,2265382.79397635,20.3360996246338,14.3731660842896,89.91609881675
51460,468335.462446057,2264853.34736951,14.6999349594116,14.0712213516235,77.166299985125
51914,407389.842060244,2261136.72295602,19.8347797393799,13.5516204833984,75.8315058903313
51925,462286.433389857,2255394.24722665,12.8621053695679,13.8849353790283,121.906677500875
52623,440767.389439863,2242515.99723327,25.5730533599854,14.0378828048706,166.029902159
52849,395332.598386731,2242205.9804832,13.014232635498,9.10518169403076,36.4855753171875
53081,379848.572968086,2238770.94345956,15.7479724884033,12.6394605636597,83.4751573202375
53542,348856.1044502,2231883.31429676,7.90692663192749,8.96304321289062,6.53844342975
53543,353842.622040174,2231376.23171071,1.17663884162903,5.1787486076355,3.44179532513125
53547,373799.042777342,2229313.41398948,19.8121147155762,13.8470306396484,114.90952728335
53553,403743.804570541,2226204.17433503,13.3721828460693,6.18159627914429,39.5571399213187
53776,358326.977699068,2225865.94467918,14.0451145172119,13.677375793457,85.174090414
53781,383284.673693095,2223282.51825219,11.9805498123169,12.2416343688965,42.572277505025
53786,408218.344784259,2220680.03181209,19.9727573394775,12.2481737136841,95.158861681625
54004,342844.970046278,2222431.89832638,7.86253023147583,7.91937351226807,3.106943503825
54009,367775.047030724,2219857.4859975,18.812686920166,13.8610134124756,81.1825626781125
54712,376199.910338929,2203841.85556438,22.0352325439453,12.2468757629395,39.2420034467125
54722,426101.462595186,2198670.52254882,18.0743618011475,4.65468215942383,63.9298677946813
54946,330771.71032545,2203516.03925434,21.8038158416748,10.4280910491943,115.451535852906
54951,355737.199047787,2200922.98588135,25.7004566192627,14.3876209259033,121.771425786
54956,380675.295061166,2198341.41615028,3.06195878982544,5.71110868453979,3.5405319605
54961,405644.40566362,2195727.72732198,20.73020362854,14.0923194885254,142.179512172731
55188,320295.747507096,2199526.67396969,8.85684108734131,13.838903427124,82.2620422203063
55198,370201.535506831,2194387.68734341,21.3191661834717,13.9806280136108,83.5208184760625
55689,389093.956635468,2182327.5752,23.3904495239258,14.801344871521,100.2637605883
56163,328205.827700843,2178540.35354411,23.9524459838867,13.5318193435669,127.616670781394
56173,378087.080996876,2173391.58022928,34.2288818359375,13.7275123596191,173.936499972044
56649,277289.117375522,2173687.55928842,27.647066116333,14.3696517944336,167.533862911237
56658,322202.311005409,2169090.96494392,30.6493492126465,13.3233604431152,144.3261302695
56664,352128.375480381,2165993.17778181,11.3741483688354,6.92102909088135,2.85611306225
56668,372080.568595732,2163933.45408584,19.844596862793,13.9830617904663,47.6852830117375
56674,401991.232717865,2160821.71172816,23.172191619873,10.9487800598145,161.835943421625
56903,281768.000538141,2168188.07412524,22.1515979766846,13.7436418533325,121.272834413344
56908,306713.784535741,2165631.88371596,26.2516994476318,15.1297702789307,100.442945136862
56913,331642.615436914,2163074.32408165,26.609842300415,10.368369102478,77.2138773613188
56918,356601.230931378,2160487.05761876,23.4728755950928,14.1327142715454,137.78978347425
56923,381538.211847248,2157907.40670982,27.7451076507568,13.6288089752197,95.9001700595125
57159,291223.739927809,2162167.12474328,21.7342472076416,13.6554756164551,148.601902666187
57169,341117.977763708,2157050.50275907,26.9055709838867,13.8448057174683,143.670774649156
57179,390981.517740709,2151880.73763552,18.0102653503418,8.99353981018066,72.0065923259813
57661,285224.006640487,2152712.42303304,31.5085582733154,14.5221471786499,126.964628468538
