"Conjunto","Biomasa_Real","Biomasa_Predicha","Residuo","Error_Absoluto","Error_Porcentual"
"Entrenamiento",87.6714557636875,83.9973358759896,3.6741198876979,3.6741198876979,4.19078234265557
"Entrenamiento",87.6714557636875,83.9973358759896,3.6741198876979,3.6741198876979,4.19078234265557
"Entrenamiento",65.0302648098688,69.6411669258829,-4.61090211601416,4.61090211601416,7.09039418721133
"Entrenamiento",102.736621931569,91.1044959590451,11.6321259725236,11.6321259725236,11.3222780288223
"Entrenamiento",70.577247980475,70.2341413140207,0.343106666454304,0.343106666454304,0.486143447458786
"Entrenamiento",77.2138773613188,73.1218408135379,4.09203654778086,4.09203654778086,5.29961282558972
"Entrenamiento",97.7894644801375,93.3803268822657,4.40913759787182,4.40913759787182,4.50880636406683
"Entrenamiento",52.6395024464313,51.149225844959,1.49027660147228,1.49027660147228,2.83109933074697
"Entrenamiento",32.4691775093813,39.7226702230601,-7.25349271367884,7.25349271367884,22.3396256697933
"Entrenamiento",92.8367904141375,105.756970182744,-12.9201797686064,12.9201797686064,13.9170901007635
"Entrenamiento",143.670774649156,151.830375636779,-8.15960098762284,8.15960098762284,5.67937425516281
"Entrenamiento",82.2620422203063,87.651523690434,-5.38948147012773,5.38948147012773,6.55160183804773
"Entrenamiento",167.533862911237,165.904830274056,1.62903263718127,1.62903263718127,0.972360219523731
"Entrenamiento",118.798519921269,116.536163474975,2.26235644629413,2.26235644629413,1.90436416867109
"Entrenamiento",65.0302648098688,69.6411669258829,-4.61090211601416,4.61090211601416,7.09039418721133
"Entrenamiento",166.029902159,159.429621286487,6.60028087251288,6.60028087251288,3.9753567198926
"Entrenamiento",87.6714557636875,83.9973358759896,3.6741198876979,3.6741198876979,4.19078234265557
"Entrenamiento",100.2637605883,114.285308459452,-14.0215478711521,14.0215478711521,13.9846618447845
"Entrenamiento",148.601902666187,150.026486663936,-1.42458399774821,1.42458399774821,0.958657979600286
"Entrenamiento",150.24557860525,150.994459164808,-0.748880559558245,0.748880559558245,0.498437668855021
"Entrenamiento",124.831984706362,119.372960560762,5.45902414560031,5.45902414560031,4.37309729428479
"Entrenamiento",132.450358715431,134.557565486085,-2.10720677065382,2.10720677065382,1.59094078044707
"Entrenamiento",53.0062605318313,55.5962186849929,-2.58995815316165,2.58995815316165,4.88613633025753
"Entrenamiento",171.894472875381,167.963248680422,3.93122419495958,3.93122419495958,2.28699860396752
"Entrenamiento",96.2302452376438,95.5698972472749,0.660347990368876,0.660347990368876,0.686216676199296
"Entrenamiento",82.2620422203063,87.651523690434,-5.38948147012773,5.38948147012773,6.55160183804773
"Entrenamiento",173.936499972044,164.305639266659,9.63086070538472,9.63086070538472,5.53699810386384
"Entrenamiento",142.179512172731,143.454794439697,-1.27528226696623,1.27528226696623,0.896952203223215
"Entrenamiento",29.0644380721562,28.597634202997,0.466803869159232,0.466803869159232,1.60609975668108
"Entrenamiento",44.6343463749687,44.2351928770183,0.399153497950408,0.399153497950408,0.89427432093721
"Entrenamiento",65.0302648098688,69.6411669258829,-4.61090211601416,4.61090211601416,7.09039418721133
"Entrenamiento",123.467201947512,127.963498727789,-4.49629678027628,4.49629678027628,3.6416932669974
"Entrenamiento",81.1825626781125,76.8393678137184,4.34319486439412,4.34319486439412,5.34991101674071
"Entrenamiento",139.861568563306,132.821548401537,7.04002016176884,7.04002016176884,5.03356299666927
"Entrenamiento",118.798519921269,116.536163474975,2.26235644629413,2.26235644629413,1.90436416867109
"Entrenamiento",63.9298677946813,59.3318833600229,4.59798443465834,4.59798443465834,7.19223203998817
"Entrenamiento",82.1280818577563,85.2954477068677,-3.16736584911142,3.16736584911142,3.85661734386219
"Entrenamiento",47.6852830117375,54.8258439314476,-7.14056091971011,7.14056091971011,14.9743494611063
"Entrenamiento",36.4855753171875,36.3899489778975,0.0956263392899857,0.0956263392899857,0.262093549185933
"Entrenamiento",57.8022074615438,59.4587622445702,-1.65655478302646,1.65655478302646,2.86590228258274
"Entrenamiento",54.92148830525,52.5134797893209,2.40800851592907,2.40800851592907,4.38445604849805
"Entrenamiento",194.866988393938,197.242458916326,-2.37547052238821,2.37547052238821,1.2190215192246
"Entrenamiento",178.434749142625,173.878112208362,4.55663693426268,4.55663693426268,2.55367127544084
"Entrenamiento",150.24557860525,150.994459164808,-0.748880559558245,0.748880559558245,0.498437668855021
"Entrenamiento",46.6129196428,46.7657936757734,-0.152874032973415,0.152874032973415,0.32796493792832
"Entrenamiento",63.9298677946813,59.3318833600229,4.59798443465834,4.59798443465834,7.19223203998817
"Entrenamiento",122.758575850494,129.252130568243,-6.4935547177493,6.4935547177493,5.28969538197677
"Entrenamiento",90.8933587589813,87.7598338451041,3.13352491387711,3.13352491387711,3.44747400322473
"Entrenamiento",113.715675350919,120.815349769778,-7.09967441885968,7.09967441885968,6.24335598143732
"Entrenamiento",85.174090414,88.4575415874859,-3.28345117348593,3.28345117348593,3.8549882452779
"Entrenamiento",39.5571399213187,35.8265675239621,3.7305723973566,3.7305723973566,9.43084460799611
"Entrenamiento",128.608674423425,139.157504896683,-10.5488304732577,10.5488304732577,8.20226980842604
"Entrenamiento",161.835943421625,153.028923582347,8.8070198392783,8.8070198392783,5.44194302765503
"Entrenamiento",87.6714557636875,83.9973358759896,3.6741198876979,3.6741198876979,4.19078234265557
"Entrenamiento",52.6395024464313,51.149225844959,1.49027660147228,1.49027660147228,2.83109933074697
"Entrenamiento",100.442945136862,102.940114803681,-2.49716966681832,2.49716966681832,2.48615735372277
"Entrenamiento",115.451535852906,123.559818963845,-8.10828311093897,8.10828311093897,7.02310545375723
"Entrenamiento",173.936499972044,164.305639266659,9.63086070538472,9.63086070538472,5.53699810386384
"Entrenamiento",167.533862911237,165.904830274056,1.62903263718127,1.62903263718127,0.972360219523731
"Entrenamiento",148.601902666187,150.026486663936,-1.42458399774821,1.42458399774821,0.958657979600286
"Entrenamiento",33.187631885675,33.8729339328175,-0.685302047142478,0.685302047142478,2.06493204908728
"Entrenamiento",166.029902159,159.429621286487,6.60028087251288,6.60028087251288,3.9753567198926
"Entrenamiento",51.33009384655,58.3564930298678,-7.02639918331781,7.02639918331781,13.6886544651747
"Entrenamiento",89.0031740575125,89.4902669083272,-0.487092850814662,0.487092850814662,0.547275820185202
"Entrenamiento",39.5571399213187,35.8265675239621,3.7305723973566,3.7305723973566,9.43084460799611
"Entrenamiento",100.2637605883,114.285308459452,-14.0215478711521,14.0215478711521,13.9846618447845
"Entrenamiento",211.933796607375,206.371404540349,5.562392067026,5.562392067026,2.62458945013294
